symbol,timeframe,math_principle,predicted_metric,ml_model_type,model_accuracy_percent,model_size_kb

BTC-USD,daily,Power Law Distributions,Tail Risk,XGBoost,73.86,867.17
BTC-USD,daily,Volatility Regime,Regime State,LogisticRegression,93.01,1.72
BTC-USD,daily,Volatility Regime,Regime State,XGBoost,93.01,164.02
BTC-USD,daily,Volatility Regime,Regime State,LightGBM,93.01,89.71
BTC-USD,daily,Volatility Regime,Regime State,CatBoost,93.01,33.86
BTC-USD,daily,Topological Persistence,Regime Change,XGBoost,94.7,448.13
BTC-USD,daily,Topological Persistence,Regime Change,LightGBM,95.12,555.34
BTC-USD,daily,Topological Persistence,Regime Change,CatBoost,92.42,1279.69
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.34,1.75
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,83.16,429.01
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,83.59,129.44
BTC-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,83.67,143.89
BTC-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,78.48,1286.54
BTC-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,86.12,308.88
BTC-USD,hourly,Power Law Distributions,Tail Risk,CatBoost,75.84,1612.35
BTC-USD,hourly,Volatility Regime,Regime State,LogisticRegression,91.76,1.72
BTC-USD,hourly,Volatility Regime,Regime State,XGBoost,91.76,218.51
BTC-USD,hourly,Volatility Regime,Regime State,LightGBM,91.76,167.55
BTC-USD,hourly,Volatility Regime,Regime State,CatBoost,91.76,280.8
BTC-USD,hourly,Topological Persistence,Regime Change,XGBoost,93.53,537.39
BTC-USD,hourly,Topological Persistence,Regime Change,LightGBM,93.63,614.07
BTC-USD,hourly,Topological Persistence,Regime Change,CatBoost,90.85,734.71
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.82,1.75
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,82.52,192.43
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,82.47,223.25
BTC-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,82.85,2975.78
ETH-USD,daily,Power Law Distributions,Tail Risk,XGBoost,72.93,592.4
ETH-USD,daily,Volatility Regime,Regime State,LogisticRegression,90.62,1.72
ETH-USD,daily,Volatility Regime,Regime State,XGBoost,90.62,77.12
ETH-USD,daily,Volatility Regime,Regime State,LightGBM,90.62,485.31
ETH-USD,daily,Volatility Regime,Regime State,CatBoost,90.62,42.57
ETH-USD,daily,Topological Persistence,Regime Change,XGBoost,93.93,310.11
ETH-USD,daily,Topological Persistence,Regime Change,LightGBM,94.48,340.12
ETH-USD,daily,Topological Persistence,Regime Change,CatBoost,93.82,2845.58
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.0,1.75
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,82.78,213.48
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,83.0,380.44
ETH-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,84.22,43.99
ETH-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,74.02,1054.9
ETH-USD,hourly,Power Law Distributions,Tail Risk,CatBoost,70.08,3189.9
ETH-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.77,1.72
ETH-USD,hourly,Volatility Regime,Regime State,XGBoost,93.77,322.77
ETH-USD,hourly,Volatility Regime,Regime State,LightGBM,93.77,213.19
ETH-USD,hourly,Volatility Regime,Regime State,CatBoost,93.77,84.96
ETH-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.64,699.8
ETH-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.97,675.53
ETH-USD,hourly,Topological Persistence,Regime Change,CatBoost,92.58,1407.48
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.39,1.75
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,83.81,211.49
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,83.91,207.39
ETH-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,84.34,36.91
BNB-USD,daily,Volatility Regime,Regime State,LogisticRegression,95.58,1.72
BNB-USD,daily,Volatility Regime,Regime State,XGBoost,95.58,197.93
BNB-USD,daily,Volatility Regime,Regime State,LightGBM,95.58,252.61
BNB-USD,daily,Volatility Regime,Regime State,CatBoost,95.58,56.59
BNB-USD,daily,Topological Persistence,Regime Change,XGBoost,96.03,388.53
BNB-USD,daily,Topological Persistence,Regime Change,LightGBM,96.58,206.88
BNB-USD,daily,Topological Persistence,Regime Change,CatBoost,95.7,212.72
BNB-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,87.56,1.75
BNB-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,87.78,315.59
BNB-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,87.78,236.06
BNB-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,87.89,570.37
BNB-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,73.68,1058.59
BNB-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,86.22,179.97
BNB-USD,hourly,Volatility Regime,Regime State,LogisticRegression,91.43,1.72
BNB-USD,hourly,Volatility Regime,Regime State,XGBoost,91.43,356.06
BNB-USD,hourly,Volatility Regime,Regime State,LightGBM,91.43,69.74
BNB-USD,hourly,Volatility Regime,Regime State,CatBoost,91.43,784.33
BNB-USD,hourly,Topological Persistence,Regime Change,XGBoost,93.01,600.66
BNB-USD,hourly,Topological Persistence,Regime Change,LightGBM,92.86,571.46
BNB-USD,hourly,Topological Persistence,Regime Change,CatBoost,90.09,1436.0
BNB-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,86.11,1.75
BNB-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,84.91,200.6
BNB-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,85.11,189.24
BNB-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,85.39,255.07
SOL-USD,daily,Power Law Distributions,Tail Risk,XGBoost,73.02,626.76
SOL-USD,daily,Power Law Distributions,Tail Risk,LightGBM,71.75,600.42
SOL-USD,daily,Power Law Distributions,Tail Risk,CatBoost,72.38,1622.84
SOL-USD,daily,Volatility Regime,Regime State,LogisticRegression,90.97,1.72
SOL-USD,daily,Volatility Regime,Regime State,XGBoost,90.97,331.77
SOL-USD,daily,Volatility Regime,Regime State,LightGBM,90.97,95.36
SOL-USD,daily,Volatility Regime,Regime State,CatBoost,91.12,1549.02
SOL-USD,daily,Topological Persistence,Regime Change,XGBoost,94.55,337.63
SOL-USD,daily,Topological Persistence,Regime Change,LightGBM,94.55,509.65
SOL-USD,daily,Topological Persistence,Regime Change,CatBoost,93.46,211.36
SOL-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,86.16,1.75
SOL-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,85.06,212.76
SOL-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,84.59,202.22
SOL-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,86.32,116.31
SOL-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,73.82,1089.18
SOL-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.1,1.72
SOL-USD,hourly,Volatility Regime,Regime State,XGBoost,93.1,253.93
SOL-USD,hourly,Volatility Regime,Regime State,LightGBM,93.15,73.58
SOL-USD,hourly,Volatility Regime,Regime State,CatBoost,93.1,126.75
SOL-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.16,721.03
SOL-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.54,657.17
SOL-USD,hourly,Topological Persistence,Regime Change,CatBoost,92.67,2706.9
SOL-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.44,1.75
SOL-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,84.77,148.2
SOL-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,84.72,150.49
SOL-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,84.77,608.57
ADA-USD,daily,Power Law Distributions,Tail Risk,XGBoost,73.27,814.2
ADA-USD,daily,Power Law Distributions,Tail Risk,LightGBM,71.59,611.6
ADA-USD,daily,Power Law Distributions,Tail Risk,CatBoost,70.92,3182.38
ADA-USD,daily,Volatility Regime,Regime State,LogisticRegression,92.6,1.72
ADA-USD,daily,Volatility Regime,Regime State,XGBoost,92.6,388.59
ADA-USD,daily,Volatility Regime,Regime State,LightGBM,92.6,122.05
ADA-USD,daily,Volatility Regime,Regime State,CatBoost,92.6,25.17
ADA-USD,daily,Topological Persistence,Regime Change,XGBoost,93.82,341.05
ADA-USD,daily,Topological Persistence,Regime Change,LightGBM,94.15,506.29
ADA-USD,daily,Topological Persistence,Regime Change,CatBoost,92.83,2843.72
ADA-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.44,1.75
ADA-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,83.44,175.77
ADA-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,82.78,151.85
ADA-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,82.78,424.67
ADA-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,73.58,1162.95
ADA-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,82.61,363.11
ADA-USD,hourly,Power Law Distributions,Tail Risk,CatBoost,70.32,3217.96
ADA-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.1,1.72
ADA-USD,hourly,Volatility Regime,Regime State,XGBoost,93.1,143.71
ADA-USD,hourly,Volatility Regime,Regime State,LightGBM,93.1,393.83
ADA-USD,hourly,Volatility Regime,Regime State,CatBoost,93.1,29.68
ADA-USD,hourly,Topological Persistence,Regime Change,XGBoost,93.34,589.92
ADA-USD,hourly,Topological Persistence,Regime Change,LightGBM,93.34,672.85
ADA-USD,hourly,Topological Persistence,Regime Change,CatBoost,85.44,2734.99
ADA-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,86.97,1.75
ADA-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,86.21,189.18
ADA-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,86.54,137.72
ADA-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,86.54,81.57
XRP-USD,daily,Power Law Distributions,Tail Risk,XGBoost,70.36,834.1
XRP-USD,daily,Power Law Distributions,Tail Risk,LightGBM,86.69,87.5
XRP-USD,daily,Volatility Regime,Regime State,LogisticRegression,92.72,1.72
XRP-USD,daily,Volatility Regime,Regime State,XGBoost,92.72,76.43
XRP-USD,daily,Volatility Regime,Regime State,LightGBM,92.72,57.35
XRP-USD,daily,Volatility Regime,Regime State,CatBoost,92.72,44.44
XRP-USD,daily,Topological Persistence,Regime Change,XGBoost,94.7,396.28
XRP-USD,daily,Topological Persistence,Regime Change,LightGBM,94.48,491.06
XRP-USD,daily,Topological Persistence,Regime Change,CatBoost,92.38,2904.68
XRP-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,86.11,1.75
XRP-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,85.11,61.4
XRP-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,85.56,165.03
XRP-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,86.0,802.91
XRP-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,74.02,1248.48
XRP-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,85.83,181.52
XRP-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.49,1.72
XRP-USD,hourly,Volatility Regime,Regime State,XGBoost,93.49,588.79
XRP-USD,hourly,Volatility Regime,Regime State,LightGBM,93.49,435.97
XRP-USD,hourly,Volatility Regime,Regime State,CatBoost,93.49,53.07
XRP-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.54,660.19
XRP-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.59,665.73
XRP-USD,hourly,Topological Persistence,Regime Change,CatBoost,93.15,2820.37
XRP-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.58,1.75
XRP-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,84.48,97.32
XRP-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,84.72,120.96
XRP-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,84.91,2200.67
DOT-USD,daily,Power Law Distributions,Tail Risk,XGBoost,76.53,695.01
DOT-USD,daily,Power Law Distributions,Tail Risk,LightGBM,72.79,551.8
DOT-USD,daily,Power Law Distributions,Tail Risk,CatBoost,74.32,1616.74
DOT-USD,daily,Volatility Regime,Regime State,LogisticRegression,90.33,1.72
DOT-USD,daily,Volatility Regime,Regime State,XGBoost,90.33,103.2
DOT-USD,daily,Volatility Regime,Regime State,LightGBM,90.33,375.52
DOT-USD,daily,Volatility Regime,Regime State,CatBoost,90.33,65.78
DOT-USD,daily,Topological Persistence,Regime Change,XGBoost,93.83,415.84
DOT-USD,daily,Topological Persistence,Regime Change,LightGBM,93.67,398.4
DOT-USD,daily,Topological Persistence,Regime Change,CatBoost,92.67,2722.01
DOT-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,83.16,1.75
DOT-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,82.32,84.63
DOT-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,83.16,111.52
DOT-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,83.0,62.97
DOT-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,76.51,1327.88
DOT-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,85.4,205.42
DOT-USD,hourly,Volatility Regime,Regime State,LogisticRegression,92.34,1.72
DOT-USD,hourly,Volatility Regime,Regime State,XGBoost,92.34,281.13
DOT-USD,hourly,Volatility Regime,Regime State,LightGBM,92.34,546.71
DOT-USD,hourly,Volatility Regime,Regime State,CatBoost,92.34,78.83
DOT-USD,hourly,Topological Persistence,Regime Change,XGBoost,92.86,683.95
DOT-USD,hourly,Topological Persistence,Regime Change,LightGBM,93.1,672.63
DOT-USD,hourly,Topological Persistence,Regime Change,CatBoost,90.8,751.06
DOT-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.58,1.75
DOT-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,85.63,155.07
DOT-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,85.82,170.78
DOT-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,85.73,44.68
DOGE-USD,daily,Power Law Distributions,Tail Risk,XGBoost,79.08,791.38
DOGE-USD,daily,Power Law Distributions,Tail Risk,LightGBM,74.38,564.02
DOGE-USD,daily,Power Law Distributions,Tail Risk,CatBoost,72.15,2943.72
DOGE-USD,daily,Volatility Regime,Regime State,LogisticRegression,92.94,1.72
DOGE-USD,daily,Volatility Regime,Regime State,XGBoost,92.94,238.4
DOGE-USD,daily,Volatility Regime,Regime State,LightGBM,92.94,629.02
DOGE-USD,daily,Volatility Regime,Regime State,CatBoost,92.94,94.38
DOGE-USD,daily,Topological Persistence,Regime Change,XGBoost,94.7,390.64
DOGE-USD,daily,Topological Persistence,Regime Change,LightGBM,96.03,673.87
DOGE-USD,daily,Topological Persistence,Regime Change,CatBoost,93.71,216.03
DOGE-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,81.56,1.75
DOGE-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,83.11,314.48
DOGE-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,82.44,61.39
DOGE-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,83.56,74.81
DOGE-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,74.83,1297.24
DOGE-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.49,1.72
DOGE-USD,hourly,Volatility Regime,Regime State,XGBoost,93.49,216.63
DOGE-USD,hourly,Volatility Regime,Regime State,LightGBM,93.49,131.38
DOGE-USD,hourly,Volatility Regime,Regime State,CatBoost,93.49,30.22
DOGE-USD,hourly,Topological Persistence,Regime Change,XGBoost,93.87,683.09
DOGE-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.06,650.65
DOGE-USD,hourly,Topological Persistence,Regime Change,CatBoost,92.72,1445.48
DOGE-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.97,1.75
DOGE-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,86.64,99.4
DOGE-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,86.78,318.08
DOGE-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,86.49,379.6
AVAX-USD,daily,Power Law Distributions,Tail Risk,XGBoost,71.13,597.34
AVAX-USD,daily,Power Law Distributions,Tail Risk,LightGBM,71.82,530.58
AVAX-USD,daily,Power Law Distributions,Tail Risk,CatBoost,73.02,3217.93
AVAX-USD,daily,Volatility Regime,Regime State,LogisticRegression,91.92,1.72
AVAX-USD,daily,Volatility Regime,Regime State,XGBoost,92.09,128.31
AVAX-USD,daily,Volatility Regime,Regime State,LightGBM,91.92,188.81
AVAX-USD,daily,Volatility Regime,Regime State,CatBoost,91.92,2240.88
AVAX-USD,daily,Topological Persistence,Regime Change,XGBoost,93.6,247.72
AVAX-USD,daily,Topological Persistence,Regime Change,LightGBM,94.28,682.4
AVAX-USD,daily,Topological Persistence,Regime Change,CatBoost,92.42,771.18
AVAX-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,84.35,1.75
AVAX-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,81.97,156.06
AVAX-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,82.31,208.24
AVAX-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,83.67,130.39
AVAX-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,73.15,1285.54
AVAX-USD,hourly,Power Law Distributions,Tail Risk,LightGBM,84.39,289.31
AVAX-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.49,1.72
AVAX-USD,hourly,Volatility Regime,Regime State,XGBoost,93.49,73.63
AVAX-USD,hourly,Volatility Regime,Regime State,LightGBM,93.49,365.67
AVAX-USD,hourly,Volatility Regime,Regime State,CatBoost,93.49,990.42
AVAX-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.78,723.88
AVAX-USD,hourly,Topological Persistence,Regime Change,LightGBM,96.41,118.09
AVAX-USD,hourly,Topological Persistence,Regime Change,CatBoost,88.22,1336.48
AVAX-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,87.45,1.75
AVAX-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,86.73,82.34
AVAX-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,87.21,53.22
AVAX-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,87.21,114.18
LINK-USD,daily,Power Law Distributions,Tail Risk,XGBoost,73.71,855.88
LINK-USD,daily,Volatility Regime,Regime State,LogisticRegression,89.96,1.72
LINK-USD,daily,Volatility Regime,Regime State,XGBoost,89.96,212.77
LINK-USD,daily,Volatility Regime,Regime State,LightGBM,89.96,89.14
LINK-USD,daily,Volatility Regime,Regime State,CatBoost,89.96,19.87
LINK-USD,daily,Topological Persistence,Regime Change,XGBoost,92.05,468.94
LINK-USD,daily,Topological Persistence,Regime Change,LightGBM,92.6,659.29
LINK-USD,daily,Topological Persistence,Regime Change,CatBoost,91.17,1453.9
LINK-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.89,1.75
LINK-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,86.22,104.87
LINK-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,85.89,80.78
LINK-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,86.44,23.33
LINK-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,71.66,1220.73
